name,year,kilometers_Driven,fuel_Type,transmission,owner_Type,mileage,selling_price,price
Maruti Wagon R LXI CNG,2010,72000,CNG,Manual,First,26.6 km/kg,1.75,175000
Hyundai Creta 1.6 CRDi SX Option,2015,41000,Diesel,Manual,First,19.67 kmpl,12.5,1250000
Honda Jazz V,2011,46000,Petrol,Manual,First,18.2 kmpl,4.5,450000
Maruti Ertiga VDI,2012,87000,Diesel,Manual,First,20.77 kmpl,6,600000
Audi A4 New 2.0 TDI Multitronic,2013,40670,Diesel,Automatic,Second,15.2 kmpl,17.74,1774000
Hyundai EON LPG Era Plus Option,2012,75000,LPG,Manual,First,21.1 km/kg,2.35,235000
Nissan Micra Diesel XV,2013,86999,Diesel,Manual,First,23.08 kmpl,3.5,350000
Toyota Innova Crysta 2.8 GX AT 8S,2016,36000,Diesel,Automatic,First,11.36 kmpl,17.5,1750000
Volkswagen Vento Diesel Comfortline,2013,64430,Diesel,Manual,First,20.54 kmpl,5.2,520000
Tata Indica Vista Quadrajet LS,2012,65932,Diesel,Manual,Second,22.3 kmpl,1.95,195000
Maruti Ciaz Zeta,2018,25692,Petrol,Manual,First,21.56 kmpl,9.95,995000
Honda City 1.5 V AT Sunroof,2012,60000,Petrol,Automatic,First,16.8 kmpl,4.49,449000
Maruti Swift VDI BSIV,2015,64424,Diesel,Manual,First,25.2 kmpl,5.6,560000
Land Rover Range Rover 2.2L Pure,2014,72000,Diesel,Automatic,First,12.7 kmpl,27,2700000
Land Rover Freelander 2 TD4 SE,2012,85000,Diesel,Automatic,Second,0.0 kmpl,17.5,1750000
Mitsubishi Pajero Sport 4X4,2014,110000,Diesel,Manual,First,13.5 kmpl,15,1500000
Honda Amaze S i-Dtech,2016,58950,Diesel,Manual,First,25.8 kmpl,5.4,540000
Maruti Swift DDiS VDI,2017,25000,Diesel,Manual,First,28.4 kmpl,5.99,599000
Renault Duster 85PS Diesel RxL Plus,2014,77469,Diesel,Manual,First,20.45 kmpl,6.34,634000
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,78500,Diesel,Automatic,First,14.84 kmpl,28,2800000
BMW 3 Series 320d,2014,32982,Diesel,Automatic,First,22.69 kmpl,18.55,1855000
Maruti S Cross DDiS 200 Alpha,2015,55392,Diesel,Manual,Second,23.65 kmpl,8.25,825000
Audi A6 2011-2015 35 TFSI Technology,2015,55985,Petrol,Automatic,First,13.53 kmpl,23.5,2350000
Hyundai i20 1.2 Magna,2010,45807,Petrol,Manual,First,18.5 kmpl,1.87,187000
Volkswagen Vento Petrol Highline AT,2010,33000,Petrol,Automatic,First,14.4 kmpl,2.85,285000
Honda City Corporate Edition,2012,51920,Petrol,Manual,First,16.8 kmpl,4.25,425000
Nissan Micra Diesel XV,2012,54000,Diesel,Manual,First,23.08 kmpl,4.25,425000
Maruti Alto K10 2010-2014 VXI,2013,54000,Petrol,Manual,Second,20.92 kmpl,2.75,275000
Honda WRV i-VTEC VX,2018,37430,Petrol,Manual,First,17.5 kmpl,9.9,990000
Toyota Innova 2.5 V Diesel 7-seater,2007,262000,Diesel,Manual,Fourth & Above,12.8 kmpl,4,400000
